,22887;
$4,11776,  256,26368,  3§Ój
$5,65535,    1,36837, 1952;
$6, 2256, 2101, 2256, 2101;
$7, 1188,  838, 1188,  838;
$8, 3953, 3982, 3982,  595;
$9,  560,  592,  102,32201;
$1,  839, 1193, 2140,  497;
$2, 2089, 2044, 2013,  326;
$3,16681,22887,16681,22887;
$4,11776,  512,25600,  326;
$5,65535,    1,36837, 1949;
$6, 2256, 2101, 2256, 2101;
$7, 1188,  835, 1188,  835;
$8, 3973, 3982, 3982,  594;
$9,  556,  598,  102,32201;
$1,  838, 1194, 2156,  420;
$2, 2086, 2044, 2011,  327;
$3,16681,22887,16681,22887;
$4,11776,  256,27136,  327;
$5,65535,    1,36837, 1944;
$6, 2255, 2101, 2255, 2101;
$7, 1188,  838, 11NbÂšÂÚj
$8, 3956, 3981, 3981,  594;
$9,  556,  593,  102,32201;
$1,  838, 1194, 2119,  497;
$2, 2090, 2044, 2011,  325;
$3,16681,22887,16681,22887;
$4,11008, 1024,26112,  325;
$5,65535,    1,36837, 1933;
$6, 2256, 2100, 2256, 2100;
$7, 1188,  832, 1188,  832;
$8, 3984, 3982, 3981,  594;
$9,  556,  592,  102,32201;
$1,  839, 1196, 2101,  498;
$2, 2093, 2041, 2008,  328;
$3,16681,22887,16681,22887;
$4,11776,  256,27648,  328;
$5,65535,    1,36837, 1918;
$6, 2256, 2101, 2256, 2101;
$7, 1182,  832, 1182,  832;
$8, 3979, 3981, 3981,  594;
$9,  556,  596,  102,32201;
$1,  838, 1196, 2128,  496;
$2, 2095, 2044, 2005,  325;
$3,16681,22887,16681,22887;
$4,11008,  768,27648,  325;
$5,65535,    1,36837, 1956;
$6, 2256, 2101, 2256, 2101;
$7, 1187,  837, 1187,  837;
$8, 3974, 3982, 3982,  594;
$9,  557,  599,  102,32201;
$1,  839, 1193, 2134,  498;
$2, 2097, 2044, 2013,  328;
$3,16681,22887,16681,22887;
$4,11776,    0,26368,  328;
$5,65535,    1,36837, 1932;
$6, 2256, 2101, 2256, 2101;
$7, 1192,  838, 1192,  838;
$8, 3974, 3982, 3982,  594;
$9,  557,  590,  102,32201;
$1,  839, 1196, 2128,  499;
$2, 2088, 2043, 2005,  327;
$3,16681,22887,16681,22887;
$4,12032,  768,32512,  327;
$5,65535,    1,36837, 1954;
$6, 2256, 2101, 2256, 2101;
$7, 1188,  833, 1188,  833;
$8, 3970, 3981, 3981,  594;
$9,  555,  584,  102,32201;
