3975, 3976,  281;
$9,  252,  58bŠ‚’bš’’‚ŠÚj
$1,  833, 1139, 2171,  500;
$2, 2066, 2004, 1980,  263;
$3,64644,50024,64644,50024;
$4,12927,58239,52224,  263;
$5,65535,    1,53188,    0;
$6, 2233, 2067, 2233, 2067;
$7, 1148,  835, 1148,  835;
$8, 2922, 3975, 3975,  281;
$9,  256,  592,  102,32201;
$1,  833, 1139, 2171,  502;
$2, 2050, 2009, 1974,  263;
$3,64644,50024,64644,50024;
$4,13183,57727,52480,  263;
$5,65535,    1,53188,    0;
$6, 2233, 2065, 2233, 2065;
$7, 1140,  832, 1140,  832;
$8, 2923, 3975, 3975,  281;
$9,  257,  595,  102,32201;
$1,  833, 1139, 2181,  502;
$2, 2060, 2008, 1974,  266;
$3,64644,50024,64644,50“¢Új
$4,13695,57983,52736,  266;
$5,65535,    1,53188,    0;
$6, 2233, 2066, 2233, 2066;
$7, 1146,  832, 1146,  832;
$8, 2931, 3976, 3975,  281;
$9,  257,  596,  102,32201;
$1,  833, 1139, 2207,  501;
$2, 2056, 2006, 1976,  262;
$3,64644,50024,64644,50024;
$4,13183,58239,54528,  262;
$5,65535,    1,53188,    0;
$6, 2232, 2066, 2232, 2066;
$7, 1149,  825, 1149,  825;
$8, 2919, 3976, 3975,  281;
$9,  256,  591,  102,32201;
$1,  833, 1139, 2177,  502;
$2, 2045, 2005, 1970,  263;
$3,64644,50024,64644,50024;
$4,13695,58239,52736,  263;
$5,65535,    1,53188,    0;
$6, 2233, 2066, 2233, 2066;
$7, 1138,  834, 1138,  834;
$8, 2928, 3975, 3976,  281;
$9,  246,  590,  102,32201;
$1,  833, 1140, 2176,  498;
$2, 2059, 2001, 1968,  265;
$3,64644,50024,64644,50024;
$4,13183,57727,51712,  265;
$5,65535,    1,53188,    0;
$6, 2233, 2067, 2233, 2067;
$7, 1147,  833, 1147,  833;
$8, 2919, 3975, 3976,  281;
$9,  256,  600,  102,32201;
$1,  833, 1139, 2159,  500;
$2, 2057, 2008, 1973,  262;
$3,64644,50024,64644,50024;
$4,12927,58751,52736,  262;
$5,65535,    1,53188,    0;
$6, 2233, 2066, 2233, 2066;
$7, 1149,  827, 1149,  827;
$8, 2919, 3976, 3976,  281;
$9,  257,  587,  102,32201;
$1,  833, 1138, 2171,  500;
$2, 2060, 2009, 1973,  263;
$3,64644,50024,64644,50024;
$4,12671,58239,52480,  263;
$5,65535,    1,53188,    0;
$6, 2233, 2065, 2233, 2065;
$7, 1137,  832, 1137,  832;
$8, 2923, 3975, 3975,  280;
$9,  256,  591,  102,32201;
$1,  832, 1139, 2185,  499;
$2, 2052, 2005, 1974,  262;
$3,64644,50024,64644,50024;
$4,12927,58495,49920,  262;
$5,65535,    1,53188,    0;
$6, 2233, 2066, 2233, 2066;
$7, 1144,  829, 1144,  829;
$8, 2919, 3976, 3975,  280;
$9,  257,  595,  102,32201;
$1,  833, 1139, 2175,  502;
$2, 2057, 2006, 1973,  261;
$3,64644,50024,64644,50024;
$4,13183,57727,52992,  261;
$5,65535,    1,53188,    0;
$6, 2234, 2066, 2234, 2066;
$7, 1148,  825, 1148,  825;
$8, 2919, 3976, 3976,  281;
$9,  256,  589,  102,32201;
$1,  833, 1139, 2239,  396;
$2, 2051, 2004, 1975,  264;
$3,64644,50024,64644,50024;
$4,12927,59263,52480,  264;
$5,65535,    1,53188,    0;
$6, 2233, 2066, 2233, 2066;
$7, 1148,  832, 1148,  832;
$8, 2922, 3976, 3976,  281;
$9,  256,  590,  102,32201;
$1,  833, 1139, 2123,  498;
$2, 2063, 2008, 1972,  263;
$3,64644,50024,64644,50024;
$4,13695,57471,53504,  263;
$5,65535,    1,53188,    0;
$6, 2234, 2065, 2234, 2065;
$7, 1139,  825, 1139,  825;
$8, 2919, 3976, 3975,  280;
$9,  250,  596,  102,32201;
$1,  833, 1140, 2151,  497;
$2, 2055, 2007, 1975,  264;
$3,64644,50024,64644,50024;
$4,13183,58239,53248,  264;
$5,65535,    1,53188,    0;
$6, 2233, 2066, 2233, 2066;
$7, 1144,  833, 1144,  833;
$8, 2919, 3976, 3975,  280;
$9,  252,  590,  102,32201;
$1,  833, 1140, 2185,  502;
$2, 2055, 2004, 1969,  264;
$3,64644,50024,64644,50024;
$4,12671,57727,51968,  264;
$5,65535,    1,53188,    0;
$6, 2233, 2066, 2233, 2066;
$7, 1142,  833, 1142,  833;
$8, 2930, 3976, 3976,  281;
$9,  249,  588,  102,32201;
$1,  833, 1140, 2175,  497;
$2, 2063, 2004, 1975,  265;
$3,64644,50024,64644,50024;
$4,13183,57471,52992,  265;
$5,65535,    1,53188,    0;
$6, 2233, 2066, 2233, 2066;
$7, 1146,  833, 1146,  833;
$8, 2930, 3976, 3976,  281;
$9,  256,  582,  102,32201;
$1,  833, 1139, 2183,  499;
$2, 2060, 2008, 1971,  265;
$3,64644,50024,64644,50024;
$4,13183,59007,51456,  265;
$5,65535,    1,53188,    0;
$6, 2234, 2066, 2234, 2066;
$7, 1148,  830, 1148,  830;
$8, 2920, 3976, 3976,  281;
$9,  246,  589,  102,32201;
$1,  833, 1139, 2185,  500;
$2, 2055, 2001, 1975,  265;
$3,64644,50024,64644,50024;
$4,12671,58751,51968,  265;
$5,65535,    1,53188,    0;
$6, 2234, 2065, 2234, 2065;
$7, 1144,  831, 1144,  831;
$8, 2919, 3976, 3975,  280;
$9,  256,  588,  102,32201;
$1,  833, 1139, 2185,  498;
$2, 2069, 2008, 1969,  265;
$3,64644,50024,64644,50024;
$4,12927,57727,52480,  265;
$5,65535,    1,53188,    0;
$6, 2233, 2066, 2233, 2066;
$7, 1148,  833, 1148,  833;
$8, 2928, 3975, 3975,  281;
$9,  246,  587,  102,32201;
$1,  833, 1138, 2179,  502;
$2, 2057, 2007, 1975,  266;
$3,64644,50024,64644,50024;
$4,13951,57215,51968,  266;
$5,65535,    1,53188,    0;
$6, 2232, 2066, 2232, 2066;
$7, 1139,  832, 1139,  832;
$8, 2923, 3975, 3975,  281;
$9,  257,  598,  102,32201;
$1,  833, 1139, 2184,  498;
$2, 2057, 2008, 1976,  262;
$3,64644,50024,64644,50024;
$4,12927,57983,52736,  262;
$5,65535,    1,53188,    0;
$6, 2234, 2067, 2234, 2067;
$7, 1142,  833, 1142,  833;
$8, 2923, 3976, 3975,  281;
$9,  254,  583,  102,32201;
$1,  833, 1140, 2193,  495;
$2, 2049, 2005, 1974,  264;
$3,64644,50024,64644,50024;
$4,12927,59519,51456,  264;
$5,65535,    1,53188,    0;
$6, 2233, 2067, 2233, 2067;
$7, 1148,  832, 1148,  832;
$8, 2922, 3976, 3975,  281;
$9,  256,  587,  102,32201;
$1,  833, 1139, 2242,  397;
$2, 2048, 2008, 1978,  262;
$3,64644,50024,64644,50024;
$4,12927,58751,52224,  262;
$5,65535,    1,53188,    0;
$6, 2233, 2066, 2233, 2066;
$7, 1148,  833, 1148,  833;
$8, 2923, 3975, 3975,  280;
$9,  257,  596,  102,32201;
$1,  833, 1140, 2222,  499;
$2, 2057, 2008, 1974,  264;
$3,64644,50024,64644,50024;
$4,13183,57727,53504,  264;
$5,65535,    1,53188,    0;
