3975, 3976,  281;
$9,  252,  58bŠ‚’bš’’‚ŠÚj
$6, 2233, 2066, 2233, 2066;
$7, 1139,  834, 1139,  834;
$8, 2924, 3976, 3976,  281;
$9,  247,  599,  102,32201;
$1,  833, 1140, 2192,  497;
$2, 2054, 2008, 1976,  263;
$3,64644,50024,64644,50024;
$4,13183,58239,52224,  263;
$5,65535,    1,53188,    0;
$6, 2233, 2067, 2233, 2067;
$7, 1143,  833, 1143,  833;
$8, 2923, 3975, 3976,  281;
$9,  254,  599,  102,32201;
$1,  833, 1138, 2183,  496;
$2, 2053, 2008, 1973,  264;
$3,64644,50024,64644,50024;
$4,13183,57471,52224,  264;
$5,65535,    1,53188,    0;
$6, 2233, 2066, 2233, 2066;
$7, 1149,  825, 1149,  825;
$8, 2919, 3976, 3975,  281;
$9,  256,  596,  102,32201;
$1,  834, 1138, 2184,  497;
$2, 2054, 2009, 1972,  265;
$3,64644,50024,64644,50024;
$4,13439,58751,51968,  265;
$5,65535,    1,53188,    0;
$6, 2233, 2066, 2233, 2066;
$7, 1142,  833, 1142,  833;
$8, 2923, 3975, 3976,  281;
$9,  256,  591,  102,32201;
$1,  834, 1140, 2180,  498;
$2, 2056, 2008, 1973,  262;
$3,64644,50024,64644,50024;
$4,13183,57727,52992,  262;
$5,65535,    1,53188,    0;
$6, 2234, 2066, 2234, 2066;
$7, 1145,  834, 1145,  834;
$8, 2926, 3975, 3975,  280;
$9,  256,  597,  102,32201;
$1,  834, 1138, 2171,  495;
$2, 2055, 2005, 1968,  262;
$3,64644,50024,64644,50024;
$4,14207,57727,52736,  262;
$5,65535,    1,53188,    0;
$6, 2233, 2068, 2233, 2068;
$7, 1148,  832, 1148,  832;
$8, 2928, 3976, 3976,  280;
$9,  246,  595,  102,32201;
$1,  834, 1139, 2200,  499;
$2, 2057, 2008, 1970,  262;
$3,64644,50024,64644,50024;
$4,12159,58751,52480,  262;
$5,65535,    1,53188,    0;
$6, 2234, 2066, 2234, 2066;
$7, 1142,  830, 1142,  830;
$8, 2929, 3975, 3976,  281;
$9,  248,  587,  102,32201;
$1,  833, 1138, 2188,  495;
$2, 2051, 2008, 1970,  267;
$3,64644,50024,64644,50024;
$4,12671,58239,51712,  267;
$5,65535,    1,53188,    0;
$6, 2233, 2066, 2233, 2066;
$7, 1144,  834, 1144,  834;
$8, 2919, 3976, 3976,  281;
$9,  252,  580,  102,32201;
$1,  834, 1138, 2180,  496;
$2, 2057, 2005, 1977,  264;
$3,64644,50024,64644,50024;
$4,12159,58751,58880,  264;
$5,65535,    1,53188,    0;
$6, 2232, 2067, 2232, 2067;
$7, 1148,  827, 1148,  827;
$8, 2919, 3975, 3975,  281;
$9,  256,  581,  102,32201;
$1,  834, 1139, 2181,  496;
$2, 2060, 2008, 1971,  262;
$3,64644,50024,64644,50024;
$4,13183,57727,52992,  262;
$5,65535,    1,53188,    0;
$6, 2232, 2067, 2232, 2067;
$7, 1145,  825, 1145,  825;
$8, 2918, 3975, 3975,  281;
$9,  256,  592,  102,32201;
$1,  834, 1140, 2235,  396;
$2, 2058, 2008, 1970,  267;
$3,64644,50024,64644,50024;
$4,11647,58495,52992,  267;
$5,65535,    1,53188,    0;
$6, 2233, 2066, 2233, 2066;
$7, 1149,  828, 1149,  828;
$8, 2919, 3976, 3975,  281;
$9,  256,  593,  102,32201;
$1,  833, 1138, 2170,  499;
$2, 2054, 2005, 1971,  264;
$3,64644,50024,64644,50024;
$4,13183,57727,52992,  264;
$5,65535,    1,53188,    0;
$6, 2233, 2067, 2233, 2067;
$7, 1148,  832, 1148,  832;
$8, 2922, 3976, 3976,  281;
$9,  255,  583,  102,32201;
$1,  834, 1140, 2180,  494;
$2, 2051, 2005, 1975,  261;
$3,64644,50024,64644,50024;
$4,13951,57983,52992,  261;
$5,65535,    1,53188,    0;
$6, 2233, 2066, 2233, 2066;
$7, 1139,  831, 1139,  831;
$8, 2919, 3976, 3975,  281;
$9,  256,  593,  102,32201;
$1,  834, 1138, 2231,  498;
$2, 2057, 2006, 1973,  266;
$3,64644,50024,64644,50024;
$4,13183,57727,51968,  266;
$5,65535,    1,53188,    0;
$6, 2233, 2066, 2233, 2066;
$7, 1148,  834, 1148,  834;
$8, 2931, 3976, 3975,  281;
$9,  256,  588,  102,32201;
$1,  834, 1138, 2169,  497;
$2, 2061, 2010, 1967,  263;
$3,64644,50024,64644,50024;
$4,13183,58239,52224,  263;
$5,65535,    1,53188,    0;
$6, 2233, 2066, 2233, 2066;
$7, 1142,  834, 1142,  834;
$8, 2928, 3976, 3976,  281;
$9,  246,  596,  102,32201;
$1,  834, 1139, 2173,  495;
$2, 2045, 2005, 1975,  262;
$3,64644,50024,64644,50024;
$4,12671,58239,51968,  262;
$5,65535,    1,53188,    0;
$6, 2233, 2066, 2233, 2066;
$7, 1145,  833, 1145,  833;
$8, 2919, 3976, 3976,  281;
$9,  257,  594,  102,32201;
$1,  834, 1139, 2155,  494;
$2, 2053, 2011, 1964,  267;
$3,64644,50024,64644,50024;
$4,13183,57727,52224,  267;
$5,65535,    1,53188,    0;
$6, 2233, 2066, 2233, 2066;
$7, 1149,  836, 1149,  836;
$8, 2923, 3975, 3975,  280;
$9,  256,  586,  102,32201;
$1,  833, 1140, 2193,  496;
$2, 2053, 2008, 1971,  262;
$3,64644,50024,64644,50024;
$4,13183,58239,53504,  262;
$5,65535,    1,53188,    0;
$6, 2233, 2066, 2233, 2066;
$7, 1144,  833, 1144,  833;
$8, 2919, 3976, 3976,  281;
$9,  257,  587,  102,32201;
$1,  834, 1138, 2187,  495;
$2, 2054, 2003, 1974,  265;
$3,64644,50024,64644,50024;
$4,12671,58751,52992,  265;
$5,65535,    1,53188,    0;
$6, 2233, 2066, 2233, 2066;
$7, 1146,  834, 1146,  834;
$8, 2934, 3976, 3976,  281;
$9,  256,  586,  102,32201;
$1,  834, 1138, 2185,  495;
$2, 2054, 2008, 1967,  264;
$3,64644,50024,64644,50024;
$4,12927,57727,52480,  264;
$5,65535,    1,53188,    0;
$6, 2233, 2066, 2233, 2066;
$7, 1136,  833, 1136,  833;
$8, 2921, 3976, 3975,  281;
$9,  256,  588,  102,32201;
$1,  834, 1139, 2193,  492;
$2, 2052, 2003, 1966,  262;
$3,64644,50024,64644,50024;
$4,13695,57215,51968,  262;
$5,65535,    1,53188,    0;
$6, 2234, 2066, 2234, 2066;
$7, 1142,  833, 1142,  833;
$8, 2930, 3975, 3976,  281;
$9,  248,  583,  102,32201;
$1,  834, 1140, 2243,  388;
$2, 2056, 2005, 1965,  263;
$3,64644,50024,64644,50024;
$4,12671,58239,51712,  263;
$5,65535,    1,53188,    0;
$6, 2233, 2066, 2233, 2066;
$7, 1146,  833, 1146,  833;
$8, 2930, 3976, 3975,  281;
$9,  256,  599,  102,32201;
$1,  834, 1138, 2163,  496;
$2, 2056, 2008, 1966,  265;
$3,64644,50024,64644,50024;
$4,12671,58239,52992,  265;
$5,65535,    1,53188,    0;
$6, 2233, 2066, 2233, 2066;
$7, 1148,  828, 1148,  828;
$8, 2930, 3976, 3975,  281;
$9,  255,  589,  102,32201;
$1,  833, 1138, 2203,  498;
$2, 2054, 2008, 1966,  264;
$3,64644,50024,64644,50024;
$4,12671,58751,52992,  264;
$5,65535,    1,53188,    0;
$6, 2232, 2066, 2232, 2066;
$7, 1140,  832, 1140,  832;
$8, 2923, 3975, 3976,  281;
$9,  256,  585,  102,32201;
$1,  834, 1138, 2178,  493;
$2, 2048, 2009, 1975,  259;
$3,64644,50024,64644,50024;
$4,12671,57727,52992,  259;
$5,65535,    1,53188,    0;
$6, 2233, 2066, 2233, 2066;
$7, 1144,  833, 1144,  833;
$8, 2919, 3976, 3975,  281;
$9,  256,  591,  102,32201;
$1,  833, 1140, 2184,  495;
$2, 2058, 2008, 1967,  265;
$3,64644,50024,64644,50024;
$4,13183,57727,52992,  265;
$5,65535,    1,53188,    0;
$6, 2233, 2066, 2233, 2066;
$7, 1148,  835, 1148,  835;
$8, 2923, 3975, 3975,  280;
$9,  252,  589,  102,32201;
$1,  833, 1140, 2180,  497;
$2, 2062, 2008, 1967,  262;
$3,64644,50024,64644,50024;
$4,13951,57727,52992,  262;
$5,65535,    1,53188,    0;
$6, 2233, 2066, 2233, 2066;
$7, 1142,  831, 1142,  831;
$8, 2931, 3975, 3976,  281;
$9,  248,  590,  102,32201;
$1,  834, 1139, 2200,  496;
$2, 2056, 2008, 1967,  265;
$3,64644,50024,64644,50024;
$4,13183,57471,52480,  265;
$5,65535,    1,53188,    0;
$6, 2233, 2066, 2233, 2066;
$7, 1145,  832, 1145,  832;
$8, 2928, 3976, 3976,  281;
$9,  247,  598,  102,32201;
$1,  834, 1139, 2201,  493;
$2, 2057, 2007, 1971,  264;
$3,64644,50024,64644,50024;
$4,13695,57983,52224,  264;
$5,65535,    1,53188,    0;
$6, 2233, 2066, 2233, 2066;
$7, 1148,  834, 1148,  834;
$8, 2929, 3976, 3976,  281;
$9,  256,  588,  102,32201;
$1,  834, 1139, 2174,  496;
$2, 2053, 2009, 1967,  267;
$3,64644,50024,64644,50024;
$4,13695,58239,54016,  267;
$5,65535,    1,53188,    0;
$6, 2233, 2066, 2233, 2066;
$7, 1142,  832, 1142,  832;
$8, 2927, 3975, 3975,  281;
$9,  256,  598,  102,32201;
$1,  833, 1139, 2185,  496;
$2, 2047, 2008, 1970,  267;
$3,64644,50024,64644,50024;
$4,12671,57983,53504,  267;
$5,65535,    1,53188,    0;
$6, 2233, 2066, 2233, 2066;
$7, 1145,  833, 1145,  833;
$8, 2922, 3976, 3975,  281;
$9,  256,  585,  102,32201;
$1,  834, 1139, 2188,  494;
$2, 2056, 2003, 1965,  267;
$3,64644,50024,64644,50024;
$4,12671,58751,52224,  267;
$5,65535,    1,53188,    0;
$6, 2233, 2067, 2233, 2067;
$7, 1150,  833, 1150,  833;
$8, 2921, 3975, 3976,  281;
$9,  256,  591,  102,32201;
$1,  834, 1138, 2219,  393;
$2, 2059, 2010, 1973,  264;
$3,64644,50024,64644,50024;
$4,12671,58239,51456,  264;
$5,65535,    1,53188,    0;
$6, 2232, 2067, 2232, 2067;
$7, 1139,  829, 1139,  829;
$8, 2919, 3976, 3976,  281;
$9,  256,  592,  102,32201;
$1,  834, 1139, 2130,  496;
$2, 2057, 2008, 1975,  265;
$3,64644,50024,64644,50024;
$4,13183,58239,51968,  265;
$5,65535,    1,53188,    0;
$6, 2233, 2066, 2233, 2066;
$7, 1142,  831, 1142,  831;
$8, 2927, 3976, 3976,  281;
$9,  250,  590,  102,32201;
$1,  834, 1138, 2185,  499;
$2, 2053, 2005, 1967,  267;
$3,64644,50024,64644,50024;
$4,12671,58239,51968,  267;
$5,65535,    1,53188,    0;
$6, 2234, 2066, 2234, 2066;
$7, 1148,  835, 1148,  835;
$8, 2922, 3975, 3975,  281;
$9,  252,  587,  102,32201;
$1,  834, 1140, 2206,  496;
$2, 2059, 2005, 1973,  264;
$3,64644,50024,64644,50024;
$4,13183,57727,51968,  264;
$5,65535,    1,53188,    0;
$6, 2233, 2066, 2233, 2066;
$7, 1142,  832, 1142,  832;
$8, 2927, 3976, 3975,  281;
$9,  255,  592,  102,32201;
$1,  833, 1139, 2179,  495;
$2, 2055, 2006, 1970,  264;
$3,64644,50024,64644,50024;
$4,12159,58239,52224,  264;
$5,65535,    1,53188,    0;
$6, 2233, 2066, 2233, 2066;
$7, 1141,  834, 1141,  834;
$8, 2928, 3975, 3975,  280;
$9,  246,  587,  102,32201;
$1,  834, 1138, 2179,  497;
$2, 2060, 2007, 1968,  261;
$3,64644,50024,64644,50024;
$4,13183,57471,52736,  261;
$5,65535,    1,53188,    0;
$6, 2234, 2066, 2234, 2066;
$7, 1142,  833, 1142,  833;
$8, 2931, 3975, 3976,  281;
$9,  250,  600,  102,32201;
$1,  833, 1139, 2187,  497;
$2, 2052, 2005, 1974,  264;
$3,64644,50024,64644,50024;
$4,13951,58751,52736,  264;
$5,65535,    1,53188,    0;
$6, 2233, 2065, 2233, 2065;
$7, 1142,  835, 1142,  835;
$8, 2923, 3975, 3975,  280;
$9,  256,  586,  102,32201;
$1,  834, 1139, 2194,  497;
$2, 2054, 2009, 1970,  261;
$3,64644,50024,64644,50024;
$4,13183,58751,51968,  261;
$5,65535,    1,53188,    0;
$6, 2233, 2066, 2233, 2066;
$7, 1139,  831, 1139,  831;
$8, 2919, 3976, 3976,  281;
$9,  257,  598,  102,32201;
$1,  834, 1138, 2211,  495;
$2, 2059, 2009, 1966,  264;
$3,64644,50024,64644,50024;
$4,13183,58495,52736,  264;
$5,65535,    1,53188,    0;
$6, 2233, 2066, 2233, 2066;
$7, 1142,  833, 1142,  833;
$8, 2927, 3976, 3975,  281;
$9,  253,  598,  102,32201;
$1,  834, 1139, 2184,  496;
$2, 2055, 2008, 1966,  260;
$3,64644,50024,64644,50024;
$4,14207,57215,51712,  260;
$5,65535,    1,53188,    0;
$6, 2233, 2066, 2233, 2066;
$7, 1141,  829, 1141,  829;
$8, 2918, 3976, 3976,  281;
$9,  250,  599,  102,32201;
$1,  834, 1139, 2184,  495;
$2, 2053, 2007, 1968,  265;
$3,64644,50024,64644,50024;
$4,13695,58239,53504,  265;
$5,65535,    1,53188,    0;
$6, 2233, 2066, 2233, 2066;
$7, 1148,  834, 1148,  834;
$8, 2929, 3975, 3975,  281;
$9,  251,  597,  102,32201;
$1,  834, 1138, 2276,  389;
$2, 2047, 2008, 1969,  263;
$3,64644,50024,64644,50024;
$4,12671,58495,52480,  263;
$5,65535,    1,53188,    0;
$6, 2234, 2066, 2234, 2066;
$7, 1146,  825, 1146,  825;
$8, 2934, 3976, 3975,  281;
$9,  256,  596,  102,32201;
$1,  834, 1140, 2173,  498;
$2, 2053, 2008, 1968,  265;
$3,64644,50024,64644,50024;
$4,12927,57983,52480,  265;
$5,65535,    1,53188,    0;
$6, 2233, 2066, 2233, 2066;
$7, 1138,  830, 1138,  830;
$8, 2931, 3976, 3975,  280;
$9,  256,  598,  102,32201;
$1,  834, 1139, 2196,  497;
$2, 2050, 2008, 1968,  263;
$3,64644,50024,64644,50024;
$4,12671,58239,51712,  263;
$5,65535,    1,53188,    0;
$6, 2233, 2066, 2233, 2066;
$7, 1148,  834, 1148,  834;
$8, 2929, 3975, 3975,  280;
$9,  256,  597,  102,32201;
$1,  834, 1139, 2180,  492;
$2, 2055, 2008, 1971,  265;
$3,64644,50024,64644,50024;
$4,12927,57983,50944,  265;
$5,65535,    1,53188,    0;
$6, 2233, 2066, 2233, 2066;
$7, 1144,  834, 1144,  834;
$8, 2919, 3975, 3975,  280;
$9,  257,  583,  102,32201;
$1,  834, 1139, 2186,  495;
$2, 2055, 2004, 1970,  263;
$3,64644,50024,64644,50024;
$4,12159,57471,53760,  263;
$5,65535,    1,53188,    0;
$6, 2233, 2066, 2233, 2066;
$7, 1139,  831, 1139,  831;
$8, 2919, 3975, 3975,  281;
$9,  254,  595,  102,32201;
$1,  834, 1138, 2174,  499;
$2, 2055, 2004, 1968,  262;
$3,64644,50024,64644,50024;
$4,13183,57983,52736,  262;
$5,65535,    1,53188,    0;
$6, 2233, 2067, 2233, 2067;
$7, 1139,  833, 1139,  833;
$8, 2923, 3976, 3976,  281;
$9,  250,  596,  102,32201;
$1,  835, 1139, 2165,  496;
$2, 2051, 2008, 1967,  265;
$3,64644,50024,64644,50024;
$4,13695,57983,52480,  265;
$5,65535,    1,53188,    0;
$6, 2234, 2066, 2234, 2066;
$7, 1148,  835, 1148,  835;
$8, 2919, 3975, 3975,  281;
$9,  256,  590,  102,32201;
$1,  833, 1138, 2212,  497;
$2, 2058, 2008, 1967,  266;
$3,64644,50024,64644,50024;
$4,13183,58495,51968,  266;
$5,65535,    1,53188,    0;
$6, 2233, 2067, 2233, 2067;
$7, 1146,  834, 1146,  834;
$8, 2928, 3976, 3976,  281;
$9,  246,  587,  102,32201;
$1,  834, 1139, 2194,  492;
$2, 2048, 2008, 1973,  264;
$3,64644,50024,64644,50024;
$4,13183,58239,54784,  264;
$5,65535,    1,53188,    0;
$6, 2233, 2067, 2233, 2067;
$7, 1148,  835, 1148,  835;
$8, 2922, 3976, 3975,  281;
$9,  255,  582,  102,32201;
$1,  834, 1138, 2187,  497;
$2, 2059, 2008, 1972,  263;
$3,64644,50024,64644,50024;
$4,13695,58495,51968,  263;
$5,65535,    1,53188,    0;
$6, 2233, 2066, 2233, 2066;
$7, 1145,  834, 1145,  834;
$8, 2926, 3976, 3976,  281;
$9,  256,  596,  102,32201;
$1,  834, 1138, 2188,  498;
$2, 2048, 2008, 1961,  261;
$3,64644,50024,64644,50024;
$4,13183,57983,52736,  261;
$5,65535,    1,53188,    0;
$6, 2233, 2066, 2233, 2066;
$7, 1148,  833, 1148,  833;
$8, 2928, 3975, 3976,  281;
$9,  246,  594,  102,32201;
$1,  833, 1138, 2207,  390;
$2, 2059, 2006, 1968,  265;
$3,64644,50024,64644,50024;
$4,13183,58239,53504,  265;
$5,65535,    1,53188,    0;
$6, 2233, 2066, 2233, 2066;
$7, 1144,  827, 1144,  827;
$8, 2919, 3975, 3976,  281;
$9,  251,  590,  102,32201;
$1,  834, 1140, 2186,  494;
$2, 2055, 2008, 1971,  262;
$3,64644,50024,64644,50024;
$4,12671,58751,54016,  262;
$5,65535,    1,53188,    0;
$6, 2232, 2067, 2232, 2067;
$7, 1142,  834, 1142,  834;
$8, 2926, 3975, 3976,  281;
$9,  252,  591,  102,32201;
$1,  834, 1138, 2202,  494;
$2, 2049, 2007, 1971,  263;
$3,64644,50024,64644,50024;
$4,12671,58239,52224,  263;
$5,65535,    1,53188,    0;
$6, 2233, 2066, 2233, 2066;
$7, 1146,  832, 1146,  832;
$8, 2931, 3976, 3976,  281;
$9,  256,  601,  102,32201;
$1,  834, 1140, 2196,  495;
$2, 2051, 2008, 1973,  263;
$3,64644,50024,64644,50024;
$4,13183,57727,53504,  263;
$5,65535,    1,53188,    0;
$6, 2233, 2066, 2233, 2066;
$7, 1144,  834, 1144,  834;
$8, 2928, 3976, 3976,  281;
$9,  246,  589,  102,32201;
$1,  834, 1138, 2186,  493;
$2, 2056, 2008, 1975,  266;
$3,64644,50024,64644,50024;
$4,12927,59263,52480,  266;
$5,65535,    1,53188,    0;
$6, 2234, 2066, 2234, 2066;
$7, 1140,  834, 1140,  834;
$8, 2928, 3975, 3975,  281;
$9,  246,  591,  102,32201;
$1,  834, 1138, 2165,  493;
$2, 2049, 2004, 1972,  264;
$3,64644,50024,64644,50024;
$4,13439,58495,52224,  264;
$5,65535,    1,53188,    0;
$6, 2233, 2066, 2233, 2066;
$7, 1146,  834, 1146,  834;
$8, 2932, 3975, 3976,  281;
$9,  247,  581,  102,32201;
$1,  834, 1140, 2207,  493;
$2, 2054, 2005, 1972,  264;
$3,64644,50024,64644,50024;
$4,12927,58495,53504,  264;
$5,65535,    1,53188,    0;
$6, 2233, 2066, 2233, 2066;
$7, 1146,  832, 1146,  832;
$8, 2931, 3976, 3976,  281;
$9,  256,  582,  102,32201;
$1,  834, 1138, 2204,  492;
$2, 2056, 2008, 1968,  264;
$3,64644,50024,64644,50024;
$4,12671,58751,52480,  264;
$5,65535,    1,53188,    0;
$6, 2233, 2067, 2233, 2067;
$7, 1140,  832, 1140,  832;
$8, 2928, 3975, 3976,  281;
$9,  246,  591,  102,32201;
$1,  834, 1138, 2203,  496;
$2, 2048, 2008, 1972,  263;
$3,64644,50024,64644,50024;
$4,13183,58495,52224,  263;
$5,65535,    1,53188,    0;
$6, 2233, 2067, 2233, 2067;
$7, 1141,  833, 1141,  833;
$8, 2923, 3977, 3975,  281;
$9,  250,  593,  102,32201;
$1,  834, 1140, 2171,  498;
$2, 2056, 2006, 1968,  263;
$3,64644,50024,64644,50024;
$4,13183,58239,62208,  263;
$5,65535,    1,53188,    0;
$6, 2233, 2067, 2233, 2067;
$7, 1147,  833, 1147,  833;
$8, 2919, 3976, 3976,  281;
$9,  256,  597,  102,32201;
$1,  834, 1139, 2184,  496;
$2, 2058, 2008, 1967,  264;
$3,64644,50024,64644,50024;
$4,13695,57471,53504,  264;
$5,65535,    1,53188,    0;
$6, 2233, 2066, 2233, 2066;
$7, 1139,  831, 1139,  831;
$8, 2919, 3976, 3974,  281;
$9,  256,  599,  102,32201;
$1,  834, 1139, 2249,  395;
$2, 2056, 2003, 1974,  263;
$3,64644,50024,64644,50024;
$4,13183,57983,53504,  263;
$5,65535,    1,53188,    0;
$6, 2234, 2066, 2234, 2066;
$7, 1145,  835, 1145,  835;
$8, 2919, 3975, 3975,  281;
$9,  256,  601,  102,32201;
